isuid,id,day of week,time of day,size.kb,box,domain,local,digits,name,cappct,special,credit,sucker,porn,chain,username,large text,spampct,category,spam
1,1,Thu,0,7,no,com,no,0,name,0.1935484,1,no,no,no,no,no,no,NA,news,no
1,2,Thu,0,2,no,com,no,0,name,0.1914894,5,no,no,no,no,no,no,NA,com,yes
1,3,Thu,14,3,no,edu,yes,0,name,0.07407407,2,no,no,no,yes,no,no,13,list,no
1,4,Thu,3,3,yes,de,no,0,name,0.2,0,no,no,no,no,no,no,NA,ord,no
1,5,Thu,3,4,no,uk,no,0,name,0.4347826,2,no,no,no,no,no,no,NA,list,no
1,6,Thu,4,4,no,uk,no,0,name,0.04081633,1,no,no,no,no,no,no,NA,list,no
1,7,Thu,4,3,no,be,no,1,name,0,1,no,no,no,no,no,no,NA,list,no
1,8,Thu,5,2,yes,de,no,0,name,0.1428571,0,no,no,no,no,no,no,NA,ord,no
1,9,Thu,6,3,yes,edu,yes,0,name,0.1,1,no,no,no,no,no,no,NA,ord,no
1,10,Thu,6,1,no,de,no,0,single,0.1,0,no,no,no,no,no,no,NA,ord,no
1,11,Thu,7,3,no,com,no,0,name,0.1395349,2,no,no,no,no,no,no,NA,list,no
1,12,Thu,8,3,no,se,no,0,name,0.1282051,4,no,no,no,no,no,no,NA,list,no
1,13,Thu,8,12,yes,com,no,0,empty,0.1304348,1,no,no,no,no,no,no,NA,ord,no
1,14,Thu,8,12,yes,com,no,0,empty,0.1304348,1,no,no,no,no,no,no,NA,ord,no
1,15,Thu,9,5,no,uk,no,0,name,0.1304348,2,no,no,no,no,no,no,NA,list,no
1,16,Thu,9,2,yes,edu,yes,0,name,0.1,1,no,no,no,no,no,no,NA,ord,no
1,17,Thu,10,8,no,uk,no,0,name,0.04878049,1,no,no,no,no,no,no,NA,list,no
1,18,Thu,10,4,no,uk,no,0,name,0.1034483,0,no,no,no,no,no,no,NA,list,no
1,19,Thu,10,2,no,edu,yes,0,name,0.0952381,0,no,no,no,no,no,no,NA,ord,no
1,20,Thu,11,2,yes,de,no,0,name,0.1666667,1,no,no,no,no,no,no,NA,ord,no
1,21,Thu,11,89,yes,de,no,0,single,0.0754717,6,no,no,no,no,no,no,NA,ord,no
1,22,Thu,11,10,no,uk,no,0,name,0.1034483,1,no,no,no,no,no,no,NA,list,no
1,23,Thu,12,3,no,edu,yes,0,name,0.1428571,2,no,no,no,no,no,no,13,list,no
1,24,Thu,13,4,no,ch,no,0,name,0.125,0,no,no,no,no,no,no,NA,list,no
1,25,Thu,13,3,no,edu,yes,0,name,0,4,no,no,no,yes,no,no,13,list,no
1,26,Thu,13,3,no,uk,no,0,name,0.2647059,1,no,no,no,no,no,no,NA,list,no
1,27,Thu,13,4,no,edu,yes,0,name,0.04761905,5,no,no,no,yes,no,no,0,list,no
1,28,Fri,4,2,yes,de,no,0,name,0.2608696,0,no,no,no,no,no,no,0,ord,no
1,29,Thu,14,46,no,com,no,0,name,0.3243243,9,no,yes,no,no,no,yes,81,com,yes
1,30,Thu,16,2,yes,com,no,0,name,0.125,3,no,no,no,no,no,no,NA,ord,no
1,31,Thu,16,4,no,edu,yes,0,name,0.1,3,no,no,no,yes,no,no,0,list,no
1,32,Thu,18,54,no,de,no,0,name,0.02325581,4,no,no,no,no,no,yes,NA,news,no
1,33,Thu,17,2,yes,de,no,0,empty,0.08571429,1,no,no,no,no,no,yes,NA,list,no
1,34,Thu,17,2,no,com,no,0,empty,0.3333333,0,no,no,no,no,no,no,NA,news,no
1,35,Thu,23,9,no,ca,no,0,name,0.2352941,6,no,no,no,no,no,no,NA,news,no
1,36,Thu,23,3,no,edu,yes,0,empty,0,3,no,no,no,yes,no,no,21,list,no
1,37,Thu,23,4,no,edu,yes,0,name,0.05263158,4,no,no,no,yes,no,no,0,list,no
1,38,Fri,0,7,no,com,no,0,name,0.1935484,1,no,no,no,no,no,no,NA,news,no
1,39,Fri,2,5,yes,com,no,0,name,0.6666667,1,no,no,no,no,no,no,NA,ord,no
1,40,Fri,3,3,yes,de,no,0,name,0.1944444,3,no,no,no,no,no,no,NA,ord,no
1,41,Fri,4,580,yes,de,no,0,name,0.24,0,no,no,no,no,no,no,2,ord,no
1,42,Fri,8,70,yes,de,no,0,name,0.1333333,0,no,no,no,no,no,no,NA,ord,no
1,43,Fri,6,96,yes,de,no,0,name,0.25,0,no,no,no,no,no,no,0,ord,no
1,44,Fri,8,5,no,uk,no,0,name,0.2222222,0,no,no,no,no,no,no,NA,list,no
1,45,Fri,8,3,yes,edu,yes,0,name,0,0,no,no,no,no,no,no,NA,ord,no
1,46,Fri,9,3,yes,edu,yes,0,name,0.1481481,1,no,no,no,no,no,no,21,ord,no
1,47,Fri,9,2,no,com,no,0,empty,0.3333333,0,no,no,no,no,no,no,NA,news,no
1,48,Fri,10,3,no,edu,yes,0,name,0.0967742,2,no,no,no,no,no,no,13,list,no
1,49,Fri,11,6,no,com,no,0,name,0.1724138,1,no,no,no,no,no,no,NA,list,no
1,50,Fri,11,4,no,com,no,0,name,0.1724138,1,no,no,no,no,no,no,NA,list,no
1,51,Fri,12,2,yes,de,no,0,name,0,0,no,no,no,no,no,no,NA,ord,no
1,52,Fri,12,1,yes,de,no,0,name,0,3,no,no,no,no,no,no,NA,ord,no
1,53,Fri,17,4,no,edu,yes,0,name,0.08108108,3,no,no,no,yes,no,no,0,list,no
1,54,Fri,18,44,no,com,no,0,name,0.3623188,4,no,yes,no,no,no,yes,81,com,yes
1,55,Fri,18,2,no,com,no,0,name,0.06521739,0,no,no,no,no,no,no,NA,list,no
1,56,Fri,7,15,no,com,no,5,name,0,35,no,no,no,no,no,no,NA,com,yes
1,57,Fri,23,8,no,ca,no,0,name,0.2352941,6,no,no,no,no,no,no,NA,news,no
1,58,Sat,4,3,yes,de,no,0,name,0.1818182,0,no,no,no,no,no,no,NA,ord,no
1,59,Sat,5,4,yes,de,no,0,name,0.25,0,no,no,no,no,no,no,0,ord,no
1,60,Sat,8,31,no,com,no,0,name,0.2,7,no,no,no,no,no,yes,75,com,yes
1,61,Sat,14,3,yes,edu,yes,0,name,0,0,no,no,no,no,no,no,NA,ord,no
1,62,Sat,17,3,yes,edu,yes,0,name,0.0909091,1,no,no,no,no,no,no,NA,ord,no
1,63,Sat,21,3,no,edu,yes,0,empty,0.1060606,3,no,no,no,yes,no,no,21,list,no
1,64,Sat,21,3,no,edu,yes,0,name,0.0909091,5,no,no,no,yes,no,no,0,list,no
1,65,Sun,9,541,yes,edu,yes,0,name,0.125,1,no,no,no,no,no,no,NA,news,no
